iter	Passed	Remaining
0	143	143389
1	145	72545
2	147	48968
3	149	37145
4	151	30071
5	153	25375
6	154	21974
7	157	19510
8	160	17656
9	163	16137
10	165	14879
11	169	13930
12	171	13003
13	173	12193
14	175	11523
15	178	10998
16	181	10515
17	183	10031
18	185	9578
19	188	9215
20	190	8899
21	192	8571
22	194	8266
23	196	7992
24	198	7737
25	200	7512
26	202	7300
27	204	7091
28	206	6903
29	208	6737
30	211	6600
31	214	6481
32	216	6356
33	218	6219
34	221	6096
35	223	5973
36	226	5898
37	228	5784
38	230	5672
39	231	5557
40	233	5451
41	234	5353
42	236	5261
43	237	5165
44	239	5080
45	240	4994
46	243	4935
47	245	4872
48	248	4824
49	251	4769
50	252	4704
51	254	4645
52	256	4582
53	258	4521
54	259	4456
55	261	4402
56	263	4363
57	265	4308
58	266	4254
59	268	4201
60	269	4156
61	271	4105
62	272	4058
63	274	4015
64	276	3974
65	277	3929
66	278	3885
67	280	3838
68	281	3800
69	283	3762
70	284	3728
71	286	3693
72	287	3656
73	289	3623
74	290	3588
75	292	3561
76	295	3546
77	301	3561
78	304	3551
79	306	3525
80	308	3501
81	314	3516
82	317	3503
83	318	3477
84	320	3445
85	321	3418
86	322	3387
87	326	3386
88	329	3368
89	330	3343
90	332	3320
91	334	3299
92	336	3281
93	340	3283
94	343	3272
95	345	3251
96	352	3284
97	356	3278
98	357	3257
99	359	3238
100	362	3225
101	365	3214
102	368	3211
103	371	3201
104	378	3229
105	392	3314
106	396	3309
107	400	3310
108	403	3300
109	408	3305
110	411	3296
111	414	3284
112	416	3266
113	421	3273
114	425	3278
115	430	3284
116	434	3276
117	445	3332
118	448	3320
119	450	3307
120	456	3314
121	459	3307
122	461	3292
123	464	3279
124	468	3282
125	472	3274
126	473	3257
127	475	3236
128	477	3227
129	482	3226
130	484	3215
131	486	3198
132	488	3182
133	490	3171
134	494	3166
135	497	3157
136	498	3142
137	500	3124
138	502	3113
139	610	3752
140	613	3736
141	615	3716
142	616	3695
143	624	3713
144	627	3698
145	629	3679
146	630	3659
147	632	3639
148	634	3624
149	638	3616
150	640	3600
151	642	3582
152	644	3568
153	646	3551
154	660	3598
155	662	3586
156	670	3598
157	672	3581
158	674	3566
159	675	3548
160	681	3549
161	684	3541
162	687	3528
163	688	3512
164	692	3502
165	695	3493
166	697	3477
167	698	3460
168	700	3445
169	704	3442
170	707	3427
171	708	3412
172	710	3397
173	712	3381
174	714	3368
175	718	3361
176	720	3347
177	721	3333
178	725	3326
179	726	3310
180	729	3300
181	733	3294
182	734	3281
183	736	3267
184	739	3255
185	743	3254
186	745	3241
187	747	3227
188	748	3212
189	750	3199
190	752	3186
191	756	3183
192	759	3173
193	760	3159
194	762	3146
195	764	3134
196	767	3128
197	770	3119
198	772	3110
199	774	3098
200	776	3084
201	777	3073
202	781	3067
203	784	3061
204	786	3048
205	787	3035
206	789	3023
207	790	3011
208	794	3007
209	797	2999
210	799	2988
211	800	2976
212	802	2965
213	807	2966
214	810	2959
215	812	2948
216	813	2936
217	815	2925
218	818	2920
219	821	2914
220	824	2904
221	825	2893
222	827	2882
223	829	2872
224	834	2873
225	837	2867
226	838	2856
227	840	2844
228	842	2836
229	845	2831
230	848	2825
231	850	2816
232	852	2805
233	853	2795
234	856	2786
235	859	2782
236	862	2777
237	864	2767
238	865	2757
239	867	2747
240	869	2739
241	873	2736
242	876	2730
243	878	2721
244	880	2713
245	884	2711
246	887	2705
247	888	2695
248	890	2686
249	892	2677
250	893	2667
251	896	2661
252	899	2656
253	902	2649
254	904	2643
255	907	2638
256	911	2634
257	914	2628
258	916	2621
259	918	2614
260	923	2615
261	927	2612
262	929	2604
263	930	2595
264	932	2585
265	933	2577
266	935	2568
267	938	2562
268	941	2558
269	942	2549
270	944	2540
271	946	2533
272	947	2524
273	949	2516
274	953	2513
275	954	2505
276	956	2496
277	958	2488
278	960	2481
279	961	2472
280	966	2472
281	968	2466
282	970	2458
283	972	2450
284	973	2443
285	975	2435
286	980	2435
287	982	2427
288	983	2419
289	984	2411
290	986	2403
291	987	2395
292	990	2390
293	994	2387
294	995	2379
295	997	2372
296	999	2365
297	1000	2357
298	1003	2353
299	1007	2349
300	1008	2342
301	1009	2333
302	1011	2326
303	1012	2319
304	1014	2311
305	1018	2309
306	1020	2303
307	1022	2297
308	1024	2291
309	1026	2284
310	1027	2276
311	1031	2274
312	1033	2268
313	1034	2260
314	1036	2253
315	1037	2246
316	1039	2238
317	1040	2231
318	1043	2228
319	1046	2223
320	1047	2216
321	1049	2209
322	1051	2203
323	1052	2196
324	1055	2191
325	1058	2188
326	1060	2182
327	1062	2176
328	1064	2170
