iter	Passed	Remaining
0	141	141584
1	143	71795
2	146	48787
3	148	37047
4	150	29910
5	151	25132
6	153	21779
7	155	19225
8	156	17249
9	158	15676
10	161	14544
11	163	13449
12	164	12516
13	166	11734
14	168	11040
15	169	10425
16	171	9902
17	173	9455
18	175	9080
19	177	8710
20	179	8357
21	181	8053
22	182	7771
23	184	7501
24	186	7259
25	189	7083
26	191	6892
27	192	6692
28	194	6504
29	195	6326
30	197	6157
31	198	5997
32	199	5847
33	201	5734
34	204	5647
35	206	5522
36	207	5405
37	209	5294
38	210	5186
39	211	5081
40	213	4983
41	214	4895
42	216	4816
43	218	4745
44	219	4664
45	221	4584
46	222	4506
47	223	4430
48	224	4362
49	226	4294
50	227	4228
51	228	4165
52	230	4120
53	232	4078
54	234	4023
55	235	3966
56	236	3920
57	238	3872
58	239	3822
59	241	3775
60	242	3729
61	244	3692
62	246	3670
63	248	3633
64	249	3592
65	250	3550
66	252	3509
67	253	3470
68	254	3435
69	255	3399
70	257	3363
71	258	3334
72	262	3328
73	264	3305
74	265	3279
75	267	3250
76	268	3222
77	270	3199
78	272	3177
79	276	3180
80	278	3163
81	280	3139
82	281	3107
83	282	3083
84	284	3066
85	286	3046
86	288	3028
87	291	3020
88	293	3008
89	295	2984
90	296	2963
91	298	2942
92	299	2921
93	300	2899
94	302	2884
95	305	2880
96	307	2862
97	308	2842
98	310	2824
99	311	2805
100	313	2787
101	314	2769
102	316	2754
103	318	2744
104	320	2736
105	322	2722
106	324	2708
107	326	2693
108	328	2683
109	330	2672
110	332	2660
111	335	2663
112	338	2654
113	339	2639
114	341	2625
115	342	2611
116	343	2594
117	345	2579
118	347	2570
119	349	2566
120	353	2564
121	354	2551
122	356	2540
123	357	2527
124	359	2514
125	361	2506
126	362	2494
127	366	2498
128	369	2495
129	372	2491
130	374	2481
131	376	2473
132	379	2475
133	381	2467
134	383	2457
135	384	2445
136	386	2433
137	387	2422
138	389	2410
139	390	2399
140	393	2396
141	394	2385
142	396	2377
143	398	2367
144	399	2357
145	401	2348
146	403	2338
147	404	2329
148	406	2323
149	411	2332
150	413	2323
151	414	2315
152	416	2305
153	418	2297
154	420	2290
155	423	2290
156	425	2286
157	427	2278
158	428	2268
159	430	2259
160	431	2246
161	432	2236
162	433	2226
163	434	2215
164	438	2220
165	440	2214
166	442	2207
167	444	2201
168	447	2200
169	449	2196
170	452	2193
171	454	2188
172	457	2185
173	459	2180
174	461	2176
175	464	2173
176	466	2168
177	469	2166
178	470	2158
179	471	2149
180	472	2140
181	474	2131
182	475	2123
183	476	2114
184	477	2105
185	479	2096
186	481	2092
187	483	2089
188	484	2081
189	486	2073
190	487	2066
191	489	2057
192	490	2049
193	491	2041
194	492	2033
195	494	2027
196	497	2028
197	499	2024
198	501	2017
199	502	2009
200	503	2001
201	504	1993
202	505	1986
203	507	1978
204	508	1971
205	510	1967
206	513	1965
207	514	1958
208	515	1951
209	516	1944
210	518	1937
211	519	1930
212	520	1923
213	521	1916
214	522	1909
215	524	1904
216	527	1902
217	528	1895
218	529	1889
219	531	1883
220	532	1876
221	533	1869
222	534	1862
223	535	1856
224	537	1850
225	538	1844
226	540	1840
227	543	1839
228	545	1835
229	546	1830
230	548	1825
231	550	1821
232	551	1816
233	552	1810
234	554	1805
235	558	1807
236	560	1804
237	562	1800
238	563	1795
239	565	1789
240	566	1785
241	568	1780
242	571	1780
243	573	1776
244	574	1771
245	576	1765
246	577	1760
247	579	1755
248	580	1750
249	581	1744
250	582	1739
251	586	1739
252	588	1737
253	589	1732
254	591	1727
255	592	1722
256	593	1716
257	595	1711
258	596	1706
259	598	1702
260	600	1700
261	603	1698
262	604	1694
263	605	1688
264	607	1684
265	608	1680
266	610	1676
267	611	1671
268	613	1667
269	616	1667
270	618	1663
271	619	1657
272	620	1652
273	621	1647
274	623	1643
275	624	1637
276	625	1632
277	626	1627
278	628	1624
279	631	1623
280	633	1619
281	634	1615
282	635	1610
283	636	1604
284	637	1600
285	639	1595
286	640	1590
287	641	1586
288	643	1583
289	646	1582
290	648	1579
291	649	1575
292	651	1570
293	652	1567
294	654	1563
295	655	1559
296	656	1554
297	658	1551
298	661	1551
299	663	1547
300	664	1542
301	665	1538
302	666	1533
303	668	1529
304	669	1525
305	670	1521
306	671	1516
307	673	1514
308	677	1513
309	678	1510
310	679	1506
311	680	1501
312	682	1496
313	683	1492
314	684	1488
315	685	1484
316	686	1480
317	688	1476
318	691	1475
319	692	1472
320	693	1467
321	695	1463
322	696	1459
323	697	1455
324	698	1451
325	700	1447
326	701	1443
327	703	1440
328	705	1438
329	707	1436
330	708	1432
331	710	1428
332	711	1425
333	712	1420
334	713	1416
335	714	1412
336	716	1408
337	717	1404
338	720	1404
339	722	1402
340	723	1398
341	725	1394
342	726	1391
343	727	1387
344	728	1383
345	729	1379
346	731	1376
347	732	1373
348	736	1373
349	738	1371
350	740	1368
351	741	1365
352	743	1362
353	744	1359
354	746	1355
355	747	1353
356	750	1352
357	752	1349
358	754	1346
359	755	1342
360	756	1338
361	757	1335
362	758	1331
363	760	1328
364	761	1324
365	763	1322
366	767	1323
367	769	1320
368	770	1317
369	772	1315
370	774	1312
371	776	1310
372	777	1307
373	780	1306
374	782	1303
375	783	1300
376	784	1296
377	785	1293
378	786	1289
379	788	1285
380	789	1282
381	790	1279
382	791	1275
383	794	1274
384	796	1272
385	797	1268
386	798	1265
387	800	1261
388	801	1258
389	802	1255
390	803	1251
391	804	1248
392	806	1245
393	808	1242
394	811	1242
395	812	1239
396	813	1236
397	815	1232
398	817	1230
399	818	1227
400	819	1224
401	820	1221
402	822	1218
403	825	1217
404	827	1215
405	828	1211
406	829	1208
407	830	1205
408	832	1203
409	834	1200
410	835	1197
411	837	1194
412	840	1194
413	843	1193
414	844	1191
415	846	1188
416	848	1186
417	850	1184
418	853	1183
419	856	1183
420	858	1180
421	860	1178
422	861	1175
423	863	1172
424	864	1170
425	866	1167
426	871	1169
427	873	1167
428	876	1166
429	878	1164
430	879	1161
431	881	1159
432	884	1158
433	887	1156
434	889	1155
435	891	1153
436	893	1150
437	895	1148
438	898	1147
439	901	1147
440	903	1145
441	904	1142
442	906	1139
443	907	1136
444	909	1133
445	910	1131
446	913	1129
447	915	1128
448	917	1126
449	919	1123
450	920	1120
451	922	1118
452	923	1115
453	925	1112
454	927	1110
455	931	1111
456	933	1109
457	935	1106
458	937	1105
459	939	1103
460	941	1101
461	944	1100
462	946	1098
463	948	1095
464	949	1092
465	951	1090
466	952	1087
467	954	1084
468	955	1082
469	957	1079
470	960	1078
471	961	1075
472	963	1073
473	964	1070
474	965	1066
475	966	1063
476	967	1061
477	968	1058
478	970	1055
479	971	1052
480	974	1051
481	975	1048
482	976	1045
483	978	1042
484	979	1039
485	980	1037
486	981	1034
487	983	1031
488	984	1028
489	985	1026
490	988	1024
491	990	1022
492	991	1019
493	992	1017
494	994	1014
495	995	1011
496	996	1008
497	997	1005
498	998	1002
499	999	999
500	1001	997
501	1003	995
502	1005	993
503	1006	990
504	1008	988
505	1009	985
506	1010	982
507	1011	979
508	1012	976
509	1013	974
510	1014	971
511	1016	969
512	1019	968
513	1021	965
514	1022	962
515	1023	959
516	1024	957
517	1025	954
518	1026	951
519	1028	949
520	1029	946
521	1030	943
522	1033	942
523	1035	941
524	1038	939
525	1039	937
526	1041	935
